code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
RADWBCP,HBC AULNOYE AYMERIES,PETIT clement,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J12,23,24,rencontre_D2F_1_2122_225.pdf,13,13,13,R,0,-1,0,1,1,F,1,1,D2,2122,27,20,7,1.43147027313079
RADWHTW,LIMOGES HAND,STEFANOVIC rastko,MONTPELLIER HANDBALL,CANAYER patrice,J14,29,30,rencontre_D1H_2122_547.pdf,11,12,12,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,26,NA,NA
RADWLEH,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,TREMBLAY HANDBALL,ZOVKO dragan,J13,30,21,rencontre_D2H_2122_21068.pdf,12,11,11,R,1,1,1,1,1,H,1,1,D2,2122,34,29,5,1.13472077661243
RADXBPM,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,CAVIGAL NICE HANDBALL,ROURA eduard,J17,23,24,rencontre_D2H_2122_21104.pdf,12,11,11,R,1,-1,0,1,1,H,1,1,D2,2122,NA,34,NA,NA
RADYKEZ,LES NEPTUNES DE NANTES,SAURINA guillaume,JDA DIJON HANDBALL,MAZEL christophe,J11,28,25,rencontre_D1F_2122_249.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D1,2122,22,21,1,-0.171498585142509
RADYUKO,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,SARAN LOIRET HB,COURTIAL fabien,J12,32,26,rencontre_D1H_2122_527.pdf,15,15,15,R,0,1,1,1,1,H,1,1,D1,2122,28,NA,NA,NA
RADZBQF,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,CAEN HANDBALL,BEDOS roch,J25,31,27,rencontre_D2H_2122_21161.pdf,17,14,14,R,1,1,1,1,1,H,1,1,D2,2122,47,45,2,0.398287701950713
RADZGYW,CAEN HANDBALL,BEDOS roch,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,J17,24,29,rencontre_D2H_2122_21098.pdf,14,15,15,R,-1,-1,0,1,1,H,1,0,D2,2122,34,NA,NA,NA
RADZHLN,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J10,28,28,rencontre_D2F_1_2122_207.pdf,13,12,12,R,1,0,0,1,1,F,1,0,D2,2122,20,21,-1,-0.227429413073671
RADZKQH,BOURG DE PEAGE DROME HANDBALL,COMTE camille,PARIS,MESSAOUDI yacine,J10,23,23,rencontre_D1F_2122_241.pdf,13,10,10,R,1,0,0,1,1,F,1,1,D1,2122,25,23,2,0.520755643923296
RADZSZY,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,MERIGNAC HANDBALL,CHAGNARD christophe,J14,33,26,rencontre_D1F_2122_269.pdf,13,13,13,R,0,1,1,1,1,F,0,1,D1,2122,27,24,3,0.0354797362133994
RADZYWZ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J12,35,29,rencontre_D2F_1_2122_223.pdf,15,15,15,R,0,1,1,1,1,F,1,1,D2,2122,25,19,6,1.23499396113245
RAEAGKJ,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,HB OCTEVILLE SUR MER,BOIVIN gautier,J12,24,26,rencontre_D2F_1_2122_224.pdf,14,11,11,R,1,-1,0,1,1,F,1,1,D2,2122,11,15,-4,-0.729769158850992
RAEAGXT,ES BESANCON FEMININ,MIZOULE sebastien,MERIGNAC HANDBALL,CHAGNARD christophe,J18,21,20,rencontre_D1F_2122_298.pdf,10,11,11,R,-1,1,1,1,1,F,0,1,D1,2122,37,28,9,0.536229193593803
RAEAKVE,ISTRES PROVENCE HANDBALL,DEROT gilles,SAINT RAPHAEL VHB,FORTUNEANU dan,J12,26,27,rencontre_D1H_2122_531.pdf,13,14,14,R,-1,-1,0,1,1,H,0,1,D1,2122,17,NA,NA,NA
RAEALEZ,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,J16,27,27,rencontre_D2H_2122_21091.pdf,13,14,14,R,-1,0,1,1,1,H,1,1,D2,2122,28,NA,NA,NA
RAEAMSR,BOURG DE PEAGE DROME HANDBALL,COMTE camille,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J23,28,25,rencontre_D1F_2122_333.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D1,2122,51,44,7,1.49380046191668
RAEAQTV,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HBC AULNOYE AYMERIES,PETIT clement,J11,32,30,rencontre_D2F_1_2122_217.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D2,2122,NA,26,NA,NA
RAEAUFO,SELESTAT ALSACE HANDBALL,VIENNET christophe,TREMBLAY HANDBALL,ZOVKO dragan,J19,29,26,rencontre_D2H_2122_21118.pdf,12,10,10,R,1,1,1,1,1,H,1,1,D2,2122,41,41,0,0
RAEAYBG,DUNKERQUE HANDBALL GRAND LITTORAL,CALBRY arnaud,LIMOGES HAND,STEFANOVIC rastko,J22,30,27,rencontre_D1H_2122_610.pdf,15,14,14,R,1,1,1,1,1,H,1,1,D1,2122,35,NA,NA,NA
RAEBAGK,PARIS,MESSAOUDI yacine,BOURG DE PEAGE DROME HANDBALL,COMTE camille,J20,29,22,rencontre_D1F_2122_312.pdf,11,10,10,R,1,1,1,1,1,F,1,1,D1,2122,46,46,0,0
RAEBBDR,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J23,30,30,rencontre_D2F_1_2122_296.pdf,16,19,19,R,-1,0,1,1,1,F,1,1,D2,2122,60,50,10,1.17525123680567
RAEBBQF,TREMBLAY HANDBALL,ZOVKO dragan,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J22,31,26,rencontre_D2H_2122_21143.pdf,15,12,12,R,1,1,1,1,1,H,1,1,D2,2122,45,NA,NA,NA
RAEBCEJ,MONTPELLIER HANDBALL,CANAYER patrice,ISTRES PROVENCE HANDBALL,DEROT gilles,J22,35,32,rencontre_D1H_2122_611.pdf,16,15,15,R,1,1,1,1,1,H,1,1,D1,2122,48,30,18,1.20970220912275
RAEBDMC,HANDBALL PLAN DE CUQUES,SPINCER angelique,METZ HANDBALL,MAYONNADE emmanuel,J21,28,35,rencontre_D1F_2122_322.pdf,18,16,16,R,1,-1,0,1,0,F,1,1,D1,2122,28,60,-32,-1.26534583927304
RAEBGHK,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,PARIS,MESSAOUDI yacine,J21,21,29,rencontre_D1F_2122_321.pdf,12,12,12,R,0,-1,0,1,1,F,1,1,D1,2122,32,49,-17,-0.464976483106359
RAEBNOP,SAINT RAPHAEL VAR HANDBALL,FORTUNEANU dan,ISTRES PROVENCE HANDBALL,DEROT gilles,J17,31,31,rencontre_D1H_2122_573.pdf,16,15,15,R,1,0,0,1,1,H,1,1,D1,2122,34,24,10,1.24957824210112
RAEBZOE,LES NEPTUNES DE NANTES,LANFRANCHI mathieu,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,J24,29,25,rencontre_D1F_2122_341.pdf,15,14,14,R,1,1,1,1,1,F,1,1,D1,2122,51,46,5,0.41977559865605
RAECAJO,CHAMBERY SAVOIE MT-BLANC HB,MATHE erick,SAINT RAPHAEL VAR HANDBALL,FORTUNEANU dan,J26,35,29,rencontre_D1H_2122_640.pdf,16,14,14,R,1,1,1,0,1,H,0,1,D1,2122,NA,52,NA,NA
RAECFBB,US CRETEIL HANDBALL,DELGADO fernando,ISTRES PROVENCE HANDBALL,DEROT gilles,J29,28,29,rencontre_D1H_2122_663.pdf,15,16,16,R,-1,-1,0,1,1,H,1,1,D1,2122,49,41,8,1.00907167059185
SAECUYY,BREST BRETAGNE HANDBALL,MOREL pablo,JDA DIJON HANDBALL,MAZEL christophe,J1,32,30,rencontre_D1F_2223_2969.pdf,13,13,13,R,0,1,1,1,1,F,1,1,D1,2223,0,0,0,0
SAECUZC,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,ES BESANCON FEMININ,MIZOULE sebastien,J1,18,26,rencontre_D1F_2223_2973.pdf,10,13,13,R,-1,-1,0,1,0,F,1,1,D1,2223,0,0,0,0
SAECUZD,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J1,30,24,rencontre_D1F_2223_2974.pdf,13,11,11,R,1,1,1,1,1,F,1,0,D1,2223,0,0,0,0
SAECUZE,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,HANDBALL PLAN DE CUQUES,SPINCER angelique,J1,28,35,rencontre_D1F_2223_2975.pdf,15,14,14,R,1,-1,0,1,1,F,1,1,D1,2223,0,0,0,0
SAECUZF,METZ HANDBALL,MAYONNADE emmanuel,JDA DIJON HANDBALL,MAZEL christophe,J2,38,26,rencontre_D1F_2223_2976.pdf,14,13,13,R,1,1,1,1,1,F,1,1,D1,2223,0,1,-1,-0.10403129732206
SAECUZH,LES NEPTUNES DE NANTES,THOMSEN helle,HANDBALL PLAN DE CUQUES,SPINCER angelique,J2,36,31,rencontre_D1F_2223_2978.pdf,17,18,18,R,-1,1,1,1,1,F,1,1,D1,2223,1,3,-2,-0.728219081254419
SAECUZL,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J2,28,19,rencontre_D1F_2223_2982.pdf,11,10,10,R,1,1,1,1,1,F,1,1,D1,2223,3,1,2,1.76853205447502
SAECUZP,MERIGNAC HANDBALL,CHAGNARD christophe,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J3,26,28,rencontre_D1F_2223_2986.pdf,15,12,12,R,1,-1,0,1,1,F,1,1,D1,2223,2,6,-4,-1.37620470640795
SAECUZQ,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,LES NEPTUNES DE NANTES,THOMSEN helle,J3,24,26,rencontre_D1F_2223_2987.pdf,10,11,11,R,-1,-1,0,1,1,F,1,1,D1,2223,2,4,-2,-0.55048188256318
SAECUZR,HANDBALL PLAN DE CUQUES,SPINCER angelique,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J3,34,32,rencontre_D1F_2223_2988.pdf,14,14,14,R,0,1,1,1,1,F,1,1,D1,2223,4,2,2,1.10096376512636
SAECUZT,ES BESANCON FEMININ,MIZOULE sebastien,MERIGNAC HANDBALL,CHAGNARD christophe,J4,31,25,rencontre_D1F_2223_2990.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D1,2223,6,3,3,0.552716292569983
SAECVAF,MERIGNAC HANDBALL,CHAGNARD christophe,LES NEPTUNES DE NANTES,THOMSEN helle,J5,27,30,rencontre_D1F_2223_3002.pdf,15,18,18,R,-1,-1,0,1,1,F,1,1,D1,2223,4,10,-6,-1.12903388528613
SAECVAJ,LES NEPTUNES DE NANTES,THOMSEN helle,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J6,28,26,rencontre_D1F_2223_3006.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D1,2223,13,10,3,1.18845672135382
SAECVAL,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,MERIGNAC HANDBALL,CHAGNARD christophe,J6,26,24,rencontre_D1F_2223_3008.pdf,11,13,13,R,-1,1,1,1,1,F,1,1,D1,2223,5,5,0,0
SAECVAQ,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J7,33,36,rencontre_D1F_2223_3013.pdf,18,20,20,R,-1,-1,0,1,0,F,1,1,D1,2223,8,11,-3,-0.666666666666667
SAECVAR,JDA DIJON HANDBALL,MAZEL christophe,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J7,30,26,rencontre_D1F_2223_3014.pdf,12,13,13,R,-1,1,1,1,1,F,1,1,D1,2223,9,5,4,0.5
SAECVAU,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,PARIS,MESSAOUDI yacine,J7,23,24,rencontre_D1F_2223_3017.pdf,9,12,12,R,-1,-1,0,1,1,F,0,1,D1,2223,11,14,-3,-0.666666666666667
SAECVBA,HANDBALL PLAN DE CUQUES,SPINCER angelique,METZ HANDBALL,MAYONNADE emmanuel,J8,23,27,rencontre_D1F_2223_3023.pdf,14,15,15,R,-1,-1,0,1,1,F,1,1,D1,2223,13,18,-5,-0.404899649160911
SAECVBB,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,BREST BRETAGNE HANDBALL,MOREL pablo,J8,24,23,rencontre_D1F_2223_3024.pdf,11,11,11,R,0,1,1,1,1,F,1,0,D1,2223,6,21,-15,-1.83395723443471
SAECVBF,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,JDA DIJON HANDBALL,MAZEL christophe,J9,29,30,rencontre_D1F_2223_3028.pdf,16,15,15,R,1,-1,0,1,1,F,0,1,D1,2223,12,15,-3,-0.670820393249937
SAECVBH,MERIGNAC HANDBALL,CHAGNARD christophe,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J9,27,26,rencontre_D1F_2223_3030.pdf,12,13,13,R,-1,1,1,1,1,F,1,1,D1,2223,10,9,1,-0.031943828249997
SAECVBJ,METZ HANDBALL,MAYONNADE emmanuel,PARIS,MESSAOUDI yacine,J10,30,29,rencontre_D1F_2223_3032.pdf,11,14,14,R,-1,1,1,1,1,F,1,1,D1,2223,24,21,3,0.552716292569982
SAECVBL,ES BESANCON FEMININ,MIZOULE sebastien,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J10,29,26,rencontre_D1F_2223_3034.pdf,12,11,11,R,1,1,1,1,1,F,0,1,D1,2223,13,16,-3,-0.977882671469969
SAECVBN,JDA DIJON HANDBALL,MAZEL christophe,LES NEPTUNES DE NANTES,THOMSEN helle,J10,24,28,rencontre_D1F_2223_3036.pdf,10,12,12,R,-1,-1,0,1,1,F,1,1,D1,2223,18,20,-2,-0.722782844129977
SAECVBO,HANDBALL PLAN DE CUQUES,SPINCER angelique,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J10,29,25,rencontre_D1F_2223_3037.pdf,14,14,14,R,0,1,1,1,1,F,1,1,D1,2223,15,10,5,1.06291594724997
SAECVBP,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J10,31,32,rencontre_D1F_2223_3038.pdf,14,17,17,R,-1,-1,0,1,1,F,1,1,D1,2223,10,13,-3,-0.977882671469969
SAECVBR,ES BESANCON FEMININ,MIZOULE sebastien,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J11,30,22,rencontre_D1F_2223_3040.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D1,2223,16,11,5,0.891882585015845
SAECVBS,LES NEPTUNES DE NANTES,THOMSEN helle,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J11,27,29,rencontre_D1F_2223_3041.pdf,14,16,16,R,-1,-1,0,1,1,F,1,0,D1,2223,23,16,7,1.14670618073466
SAECVBX,METZ HANDBALL,MAYONNADE emmanuel,LES NEPTUNES DE NANTES,THOMSEN helle,J12,29,24,rencontre_D1F_2223_3046.pdf,14,13,13,R,1,1,1,1,1,F,1,1,D1,2223,30,24,6,1.1177432504824
SAECVBY,BREST BRETAGNE HANDBALL,MOREL pablo,PARIS,MESSAOUDI yacine,J12,22,19,rencontre_D1F_2223_3047.pdf,10,8,8,R,1,1,1,1,1,F,1,1,D1,2223,28,25,3,0.468731040524877
SAECVCC,HANDBALL PLAN DE CUQUES,SPINCER angelique,ES BESANCON FEMININ,MIZOULE sebastien,J12,20,24,rencontre_D1F_2223_3051.pdf,11,14,14,R,-1,-1,0,1,1,F,1,1,D1,2223,18,19,-1,-0.396618572751819
SAECVCD,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J12,30,22,rencontre_D1F_2223_3052.pdf,14,13,13,R,1,1,1,1,1,F,1,1,D1,2223,12,18,-6,-1.47830558934769
SAECVCE,BREST BRETAGNE HANDBALL,MOREL pablo,METZ HANDBALL,MAYONNADE emmanuel,J13,19,23,rencontre_D1F_2223_3053.pdf,10,10,10,R,0,-1,0,1,1,F,1,1,D1,2223,31,33,-2,-0.589661894160787
SAECVCG,LES NEPTUNES DE NANTES,THOMSEN helle,ES BESANCON FEMININ,MIZOULE sebastien,J13,23,23,rencontre_D1F_2223_3055.pdf,11,12,12,R,-1,0,1,1,1,F,1,1,D1,2223,25,22,3,0.214422506967559
SAECVCJ,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J13,30,30,rencontre_D1F_2223_3058.pdf,14,15,15,R,-1,0,1,1,1,F,0,1,D1,2223,13,19,-6,-1.23292941506346
SAECVCK,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,JDA DIJON HANDBALL,MAZEL christophe,J13,29,36,rencontre_D1F_2223_3059.pdf,11,11,11,R,0,-1,0,1,0,F,1,1,D1,2223,19,21,-2,-0.589661894160787
SAECVCN,ES BESANCON FEMININ,MIZOULE sebastien,JDA DIJON HANDBALL,MAZEL christophe,J14,30,35,rencontre_D1F_2223_3062.pdf,13,12,12,R,1,-1,0,1,0,F,1,1,D1,2223,24,24,0,0
SAECVCP,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,BREST BRETAGNE HANDBALL,MOREL pablo,J14,26,31,rencontre_D1F_2223_3064.pdf,13,16,16,R,-1,-1,0,1,1,F,1,1,D1,2223,28,32,-4,-1.31868153923788
SAECVCU,JDA DIJON HANDBALL,MAZEL christophe,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J15,25,27,rencontre_D1F_2223_3069.pdf,9,12,12,R,-1,-1,0,1,1,F,1,1,D1,2223,27,24,3,0.534459387267487
SAECVDA,PARIS,MESSAOUDI yacine,HANDBALL PLAN DE CUQUES,SPINCER angelique,J16,32,26,rencontre_D1F_2223_3075.pdf,15,12,12,R,1,1,1,1,1,F,1,1,D1,2223,31,22,9,0.490617782370887
SAECVDB,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J16,28,27,rencontre_D1F_2223_3076.pdf,14,16,16,R,-1,1,1,1,1,F,1,1,D1,2223,32,17,15,0.995253215666657
SAECVDD,JDA DIJON HANDBALL,MAZEL christophe,BREST BRETAGNE HANDBALL,MOREL pablo,J16,32,27,rencontre_D1F_2223_3078.pdf,16,15,15,R,1,1,1,0,1,F,0,1,D1,2223,28,38,-10,-1.10739442306572
SAECVDF,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,ES BESANCON FEMININ,MIZOULE sebastien,J16,28,28,rencontre_D1F_2223_3080.pdf,13,12,12,R,1,0,0,1,1,F,1,1,D1,2223,20,26,-6,-0.770970800868537
SAECVDK,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,METZ HANDBALL,MAYONNADE emmanuel,J17,32,33,rencontre_D1F_2223_3085.pdf,11,13,13,R,-1,-1,0,1,1,F,1,1,D1,2223,18,42,-24,-1.4363447023632
SAECVDL,HANDBALL PLAN DE CUQUES,SPINCER angelique,BREST BRETAGNE HANDBALL,MOREL pablo,J17,26,33,rencontre_D1F_2223_3086.pdf,12,14,14,R,-1,-1,0,1,0,F,1,1,D1,2223,23,39,-16,-0.652883955619635
SAECVDN,METZ HANDBALL,MAYONNADE emmanuel,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J18,37,21,rencontre_D1F_2223_3088.pdf,14,12,12,R,1,1,1,0,1,F,0,0,D1,2223,45,23,22,1.51871058911456
SAECVDP,PARIS,MESSAOUDI yacine,LES NEPTUNES DE NANTES,THOMSEN helle,J18,22,21,rencontre_D1F_2223_3090.pdf,9,12,12,R,-1,1,1,1,1,F,1,1,D1,2223,36,39,-3,-1.22594710205633
SAECVDQ,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J18,37,28,rencontre_D1F_2223_3091.pdf,14,11,11,R,1,1,1,0,1,F,1,1,D1,2223,36,31,5,-0.347656640881645
SAECVDR,JDA DIJON HANDBALL,MAZEL christophe,HANDBALL PLAN DE CUQUES,SPINCER angelique,J18,30,22,rencontre_D1F_2223_3092.pdf,13,12,12,R,1,1,1,1,1,F,1,1,D1,2223,34,24,10,0.201274897352532
SAECVDT,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,MERIGNAC HANDBALL,CHAGNARD christophe,J18,30,32,rencontre_D1F_2223_3094.pdf,13,16,16,R,-1,-1,0,1,1,F,1,1,D1,2223,26,25,1,-0.786801871468987
SAECVDW,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,ES BESANCON FEMININ,MIZOULE sebastien,J19,24,25,rencontre_D1F_2223_3097.pdf,10,9,9,R,1,-1,0,1,1,F,0,1,D1,2223,39,29,10,0.893429147503997
SAECVEB,BREST BRETAGNE HANDBALL,MOREL pablo,LES NEPTUNES DE NANTES,THOMSEN helle,J20,22,29,rencontre_D1F_2223_3102.pdf,10,13,13,R,-1,-1,0,1,1,F,1,1,D1,2223,46,43,3,0.297412804303839
SAECVED,ES BESANCON FEMININ,MIZOULE sebastien,HANDBALL PLAN DE CUQUES,SPINCER angelique,J20,26,25,rencontre_D1F_2223_3104.pdf,15,14,14,R,1,1,1,1,1,F,1,1,D1,2223,32,28,4,0.391332637241893
SAECVEE,JDA DIJON HANDBALL,MAZEL christophe,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J20,31,30,rencontre_D1F_2223_3105.pdf,14,14,14,R,0,1,1,1,1,F,0,1,D1,2223,38,21,17,1.6122904654366
SAECVEG,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J20,24,22,rencontre_D1F_2223_3107.pdf,13,12,12,R,1,1,1,1,1,F,1,1,D1,2223,28,40,-12,-1.11138468976698
SAECVEK,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,PARIS,MESSAOUDI yacine,J21,24,23,rencontre_D1F_2223_3111.pdf,11,10,10,R,1,1,1,1,1,F,1,1,D1,2223,41,42,-1,0.0630943081406336
SAECVEL,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,ES BESANCON FEMININ,MIZOULE sebastien,J21,26,28,rencontre_D1F_2223_3112.pdf,11,14,14,R,-1,-1,0,1,1,F,1,1,D1,2223,35,35,0,0
SAECVEM,MERIGNAC HANDBALL,CHAGNARD christophe,JDA DIJON HANDBALL,MAZEL christophe,J21,27,28,rencontre_D1F_2223_3113.pdf,12,13,13,R,-1,-1,0,1,1,F,1,1,D1,2223,30,41,-11,-0.567848773265702
SAECVEO,HANDBALL PLAN DE CUQUES,SPINCER angelique,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J21,27,26,rencontre_D1F_2223_3115.pdf,14,14,14,R,0,1,1,1,1,F,1,1,D1,2223,29,27,2,0.252377232562534
SAECVEP,BREST BRETAGNE HANDBALL,MOREL pablo,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J22,33,27,rencontre_D1F_2223_3116.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D1,2223,50,36,14,1.13822078644894
SAECVEV,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,PARIS,MESSAOUDI yacine,J22,21,26,rencontre_D1F_2223_3122.pdf,11,10,10,R,1,-1,0,1,1,F,1,1,D1,2223,28,43,-15,-0.924804388989767
SAECVEZ,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J23,35,28,rencontre_D1F_2223_3126.pdf,13,15,15,R,-1,1,1,1,1,F,1,1,D1,2223,44,29,15,0.481819703822221
SAECVFE,ES BESANCON FEMININ,MIZOULE sebastien,LES NEPTUNES DE NANTES,THOMSEN helle,J24,30,27,rencontre_D1F_2223_3131.pdf,15,13,13,R,1,1,1,1,1,F,1,1,D1,2223,44,51,-7,-0.137490333050799
SAECVFK,PARIS,MESSAOUDI yacine,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J25,30,31,rencontre_D1F_2223_3137.pdf,15,16,16,R,-1,-1,0,1,1,F,1,1,D1,2223,48,41,7,1.15565346363082
SAECVFL,LES NEPTUNES DE NANTES,THOMSEN helle,METZ HANDBALL,MAYONNADE emmanuel,J25,25,29,rencontre_D1F_2223_3138.pdf,12,9,9,R,1,-1,0,1,1,F,1,1,D1,2223,52,66,-14,-1.01766499036147
SAECVFM,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,JDA DIJON HANDBALL,MAZEL christophe,J25,30,25,rencontre_D1F_2223_3139.pdf,13,15,15,R,-1,1,1,1,1,F,1,1,D1,2223,48,48,0,0
SAECVFP,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,HANDBALL PLAN DE CUQUES,SPINCER angelique,J25,24,20,rencontre_D1F_2223_3142.pdf,10,10,10,R,0,1,1,1,1,F,1,1,D1,2223,28,39,-11,-0.707190925505425
SAECVFQ,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J25,26,31,rencontre_D1F_2223_3143.pdf,13,13,13,R,0,-1,0,1,1,F,0,1,D1,2223,36,30,6,1.0521621086788
SAECVFR,METZ HANDBALL,MAYONNADE emmanuel,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J26,30,26,rencontre_D1F_2223_3144.pdf,13,12,12,R,1,1,1,1,1,F,1,0,D1,2223,72,52,20,0.63593377383646
SAECVFS,BREST BRETAGNE HANDBALL,MOREL pablo,MERIGNAC HANDBALL,CHAGNARD christophe,J26,35,29,rencontre_D1F_2223_3145.pdf,17,15,15,R,1,1,1,1,1,F,1,1,D1,2223,62,36,26,0.982806741383621
SAECVFU,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J26,34,28,rencontre_D1F_2223_3147.pdf,18,16,16,R,1,1,1,1,1,F,1,1,D1,2223,47,32,15,0.34687296754716
SAEDAKG,METZ HANDBALL,MAYONNADE emmanuel,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J9,29,22,rencontre_D1F_2223_3025.pdf,13,14,14,R,-1,1,1,0,1,F,1,1,D1,2223,21,9,12,1.72496672549984
SAEDKJH,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,NOISY LE GRAND HANDBALL,GHERRAM farid,J1,20,21,rencontre_D2F_1_2223_351.pdf,10,10,10,R,0,-1,0,1,1,F,1,1,D2,2223,0,0,0,0
SAEDKJJ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,ASUL VAULX EN VELIN,MODENEL sebastien,J1,30,27,rencontre_D2F_1_2223_353.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D2,2223,0,0,0,0
