code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
TAEUTFI,NOISY LE GRAND HANDBALL,GHERRAM farid,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J5,27,23,rencontre_D2F_1_2324_250.pdf,11,10,10,R,1,1,1,0,1,F,1,1,D2,2324,8,8,0,0
TAEUTFK,HAVRE ATHLETIC CLUB HB,PELLAN stephane,TOULOUSE FEMININ HANDBALL,VEDEL fabien,J5,26,26,rencontre_D2F_1_2324_252.pdf,12,14,14,R,-1,0,1,1,1,F,1,1,D2,2324,8,6,2,1.53392997769474
TAEUTFL,LOMME LILLE METROPOLE HB,WORM laurent,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J5,27,29,rencontre_D2F_1_2324_253.pdf,16,14,14,R,1,-1,0,1,1,F,1,1,D2,2324,3,7,-4,-0.76696498884737
TAEUTFP,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,LE POUZIN HB,KIEFFER sylvain,J6,25,22,rencontre_D2F_1_2324_257.pdf,12,9,9,R,1,1,1,1,1,F,1,1,D2,2324,10,7,3,0.0318594150996416
TAEUTFR,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,NOISY LE GRAND HANDBALL,GHERRAM farid,J6,24,24,rencontre_D2F_1_2324_259.pdf,13,12,12,R,1,0,0,1,1,F,0,0,D2,2324,10,11,-1,-0.732766547291757
TAEUTFV,NOISY LE GRAND HANDBALL,GHERRAM farid,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J7,25,23,rencontre_D2F_1_2324_263.pdf,13,12,12,R,1,1,1,0,0,F,0,1,D2,2324,13,11,2,1.33408065380157
TAEUTFW,ASUL VAULX EN VELIN,MODENEL sebastien,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J7,25,22,rencontre_D2F_1_2324_264.pdf,11,9,9,R,1,1,1,0,1,F,1,1,D2,2324,5,12,-7,-0.612955976070993
TAEUTFY,HAVRE ATHLETIC CLUB HB,PELLAN stephane,STADE PESSACAIS UNION CLUB HANDBALL,HOAREAU marc,J7,32,36,rencontre_D2F_1_2324_266.pdf,14,16,16,R,-1,-1,0,1,1,F,0,1,D2,2324,11,14,-3,0.252393637205703
TAEUTGB,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J7,25,33,rencontre_D2F_1_2324_269.pdf,13,15,15,R,-1,-1,0,1,1,F,1,1,D2,2324,13,13,0,0
TAEUTGG,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J8,32,31,rencontre_D2F_1_2324_274.pdf,16,14,14,R,1,1,1,1,1,F,1,1,D2,2324,16,12,4,-0.0522708373489318
TAEUTGH,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,LOMME LILLE METROPOLE HB,WORM laurent,J8,26,23,rencontre_D2F_1_2324_275.pdf,12,11,11,R,1,1,1,1,1,F,1,1,D2,2324,12,6,6,0.574979210838248
TAEUTGR,ASUL VAULX EN VELIN,MODENEL sebastien,TOULOUSE FEMININ HANDBALL,VEDEL fabien,J10,27,23,rencontre_D2F_1_2324_285.pdf,13,11,11,R,1,1,1,1,1,F,1,1,D2,2324,11,11,0,0
TAEUTGS,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,STADE PESSACAIS UNION CLUB HANDBALL,HOAREAU marc,J10,27,31,rencontre_D2F_1_2324_286.pdf,12,11,11,R,1,-1,0,1,1,F,1,1,D2,2324,22,20,2,-0.237322226267284
TAEUTGT,HAVRE ATHLETIC CLUB HB,PELLAN stephane,LOMME LILLE METROPOLE HB,WORM laurent,J10,30,29,rencontre_D2F_1_2324_287.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D2,2324,14,8,6,0.576353978077689
TAEUTGU,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J10,25,22,rencontre_D2F_1_2324_288.pdf,13,13,13,R,0,1,1,1,1,F,1,1,D2,2324,14,18,-4,-1.45783653278474
TAEUTGV,NOISY LE GRAND HANDBALL,GHERRAM farid,LE POUZIN HB,KIEFFER sylvain,J10,22,20,rencontre_D2F_1_2324_289.pdf,10,10,10,R,0,1,1,1,1,F,0,1,D2,2324,22,12,10,1.39003018242266
TAEUTGX,CELLES SUR BELLE MELLOIS EN POITOU,MARTIN maxime,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J11,26,20,rencontre_D2F_1_2324_291.pdf,13,11,11,R,1,1,1,1,1,F,1,1,D2,2324,19,17,2,-0.249100947511811
TAEUTHB,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J11,25,27,rencontre_D2F_1_2324_295.pdf,11,11,11,R,0,-1,0,1,1,F,1,1,D2,2324,19,17,2,-0.249100947511811
TAEUTHH,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,SAMBRE AVESNOIS HANDBALL,PETIT clement,J12,27,34,rencontre_D2F_1_2324_301.pdf,10,13,13,R,-1,-1,0,1,1,F,1,1,D2,2324,24,30,-6,0
TAEUTHI,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STADE PESSACAIS UNION CLUB HANDBALL,HOAREAU marc,J12,22,26,rencontre_D2F_1_2324_302.pdf,9,11,11,R,-1,-1,0,1,0,F,1,1,D2,2324,18,26,-8,-0.519875244910036
TAEUTHM,NOISY LE GRAND HANDBALL,GHERRAM farid,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J13,30,33,rencontre_D2F_1_2324_306.pdf,14,11,11,R,1,-1,0,1,1,F,1,1,D2,2324,26,25,1,-1.02218649653996
TAEUTHN,HANDBALL CLERMONT AUVERGNE METROPOLE,BOUSSUGE pierre,ASUL VAULX EN VELIN,MODENEL sebastien,J13,29,28,rencontre_D2F_1_2324_307.pdf,14,13,13,R,1,1,1,1,1,F,1,0,D2,2324,26,18,8,0.204437299307991
TAEUTHP,LOMME LILLE METROPOLE HB,WORM laurent,LE POUZIN HB,KIEFFER sylvain,J13,29,28,rencontre_D2F_1_2324_309.pdf,17,16,16,R,1,1,1,1,1,F,1,1,D2,2324,14,15,-1,-1.3726504382108
TAEUTHS,LE POUZIN HB,KIEFFER sylvain,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J14,28,27,rencontre_D2F_1_2324_312.pdf,13,13,13,R,0,1,1,1,1,F,1,1,D2,2324,16,23,-7,-0.0530894461238832
TAEUTHT,TOULOUSE FEMININ HANDBALL,VEDEL fabien,NOISY LE GRAND HANDBALL,GHERRAM farid,J14,21,29,rencontre_D2F_1_2324_313.pdf,14,16,16,R,-1,-1,0,1,1,F,1,1,D2,2324,16,27,-11,-0.477805015114949
TAEUTHV,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,HANDBALL CLERMONT AUVERGNE METROPOLE,BOUSSUGE pierre,J14,16,19,rencontre_D2F_1_2324_315.pdf,9,9,9,R,0,-1,0,1,1,F,1,1,D2,2324,20,29,-9,-0.265447230619416
TAEUTHW,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,LOMME LILLE METROPOLE HB,WORM laurent,J14,25,31,rencontre_D2F_1_2324_316.pdf,15,16,16,R,-1,-1,0,1,1,F,1,1,D2,2324,28,17,11,1.85813061433591
TAEUTHZ,LOMME LILLE METROPOLE HB,WORM laurent,STADE PESSACAIS UNION CLUB HANDBALL,HOAREAU marc,J15,26,20,rencontre_D2F_1_2324_319.pdf,11,9,9,R,1,1,1,1,1,F,1,0,D2,2324,20,31,-11,-1.32930228312142
TAEUTIA,TOULOUSE FEMININ HANDBALL,VEDEL fabien,LE POUZIN HB,KIEFFER sylvain,J15,28,27,rencontre_D2F_1_2324_320.pdf,12,12,12,R,0,1,1,1,1,F,1,1,D2,2324,17,19,-2,-0.257924323590724
TAEUTID,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J15,31,24,rencontre_D2F_1_2324_323.pdf,15,13,13,R,1,1,1,1,1,F,1,1,D2,2324,24,21,3,0.337285653926331
TAEUTIE,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,ASUL VAULX EN VELIN,MODENEL sebastien,J15,32,18,rencontre_D2F_1_2324_324.pdf,13,10,10,R,1,1,1,1,1,F,1,1,D2,2324,31,20,11,1.28962161795362
