code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
RADNRWV,LES NEPTUNES DE NANTES,SAURINA guillaume,BREST BRETAGNE HANDBALL,MOREL pablo,J13,31,32,rencontre_D1F_2122_261.pdf,31,31,R,0,-1,0,1,1,F,0,0,D1,2122,26,30,-4,-0.453486515877826
RADNRWW,PARIS,MESSAOUDI yacine,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J13,26,22,rencontre_D1F_2122_262.pdf,24,21,R,1,1,1,0,0,F,0,0,D1,2122,29,18,11,1.03451611434629
RADNRWX,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,FLEURY LOIRET HANDBALL,CASSAN christophe,J13,25,24,rencontre_D1F_2122_263.pdf,25,23,R,1,1,1,1,0,F,0,0,D1,2122,22,14,8,0.736915588301467
RADNRWZ,MERIGNAC HANDBALL,CHAGNARD christophe,ES BESANCON FEMININ,MIZOULE sebastien,J13,29,30,rencontre_D1F_2122_265.pdf,28,29,R,-1,-1,0,0,1,F,0,0,D1,2122,23,26,-3,-0.354286340529552
RADNRXA,CELLES SUR BELLE MELLOIS EN POITOU,MARTIN maxime,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,J13,24,26,rencontre_D1F_2122_266.pdf,24,25,R,-1,-1,0,0,1,F,0,0,D1,2122,16,24,-8,-0.850287217270924
RADNRXF,BOURG DE PEAGE DROME HANDBALL,COMTE camille,LES NEPTUNES DE NANTES,SAURINA guillaume,J14,30,34,rencontre_D1F_2122_271.pdf,30,32,R,-1,-1,0,1,0,F,0,1,D1,2122,34,27,7,0.461236570774193
RADNRXK,FLEURY LOIRET HANDBALL,CASSAN christophe,BOURG DE PEAGE DROME HANDBALL,COMTE camille,J15,23,26,rencontre_D1F_2122_276.pdf,22,25,R,-1,-1,0,0,0,F,0,0,D1,2122,16,35,-19,-1.04438440420414
RADNRXL,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,JDA DIJON HANDBALL,MAZEL christophe,J15,21,23,rencontre_D1F_2122_277.pdf,20,23,R,-1,-1,0,0,0,F,0,1,D1,2122,22,27,-5,0.132048602830408
RADNRXO,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,PARIS,MESSAOUDI yacine,J15,18,20,rencontre_D1F_2122_280.pdf,18,20,R,-1,-1,0,0,0,F,0,1,D1,2122,18,35,-17,-0.876322546056347
RADNRXU,JDA DIJON HANDBALL,MAZEL christophe,LES NEPTUNES DE NANTES,SAURINA guillaume,J16,28,29,rencontre_D1F_2122_286.pdf,28,28,R,0,-1,0,0,0,F,0,0,D1,2122,30,33,-3,-0.741301907326876
RADNRXV,HANDBALL PLAN DE CUQUES,SPINCER angelique,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J16,26,29,rencontre_D1F_2122_287.pdf,26,28,R,-1,-1,0,0,1,F,0,0,D1,2122,21,23,-2,-0.650530245205217
RADNRYI,HANDBALL PLAN DE CUQUES,SPINCER angelique,FLEURY LOIRET HANDBALL,CASSAN christophe,J18,22,18,rencontre_D1F_2122_300.pdf,21,18,R,1,1,1,0,0,F,0,0,D1,2122,23,19,4,0.0549978660096208
RADNRYM,FLEURY LOIRET HANDBALL,CASSAN christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J19,23,25,rencontre_D1F_2122_304.pdf,23,24,R,-1,-1,0,0,0,F,0,0,D1,2122,20,34,-14,-0.367932619463662
RADNRYQ,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J19,25,25,rencontre_D1F_2122_308.pdf,24,25,R,-1,0,1,0,0,F,0,1,D1,2122,38,24,14,1.76353910708445
RADNRYV,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,LES NEPTUNES DE NANTES,LANFRANCHI mathieu,J20,26,23,rencontre_D1F_2122_313.pdf,25,22,R,1,1,1,0,0,F,0,0,D1,2122,37,43,-6,-0.743731809082568
RADNRZC,JDA DIJON HANDBALL,MAZEL christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J21,22,25,rencontre_D1F_2122_320.pdf,22,24,R,-1,-1,0,0,0,F,0,0,D1,2122,37,40,-3,0.282034915982546
RADNRZH,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,HANDBALL PLAN DE CUQUES,SPINCER angelique,J22,26,27,rencontre_D1F_2122_325.pdf,25,26,R,-1,-1,0,0,1,F,1,1,D1,2122,28,29,-1,-0.544478798782179
RADNRZK,MERIGNAC HANDBALL,CHAGNARD christophe,BOURG DE PEAGE DROME HANDBALL,COMTE camille,J22,33,31,rencontre_D1F_2122_328.pdf,32,30,R,1,1,1,1,1,F,0,0,D1,2122,34,50,-16,-1.37503967828042
RADNRZQ,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,MERIGNAC HANDBALL,CHAGNARD christophe,J23,24,23,rencontre_D1F_2122_334.pdf,24,23,R,1,1,1,1,0,F,0,0,D1,2122,34,37,-3,0.584530615532615
RADNRZR,HANDBALL PLAN DE CUQUES,SPINCER angelique,JDA DIJON HANDBALL,MAZEL christophe,J23,23,24,rencontre_D1F_2122_335.pdf,22,24,R,-1,-1,0,0,1,F,0,0,D1,2122,32,39,-7,0.220822676978988
RADNRZS,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,PARIS,MESSAOUDI yacine,J23,25,27,rencontre_D1F_2122_336.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D1,2122,45,55,-10,-0.0519582769362324
RADNRZU,FLEURY LOIRET HANDBALL,CASSAN christophe,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J24,22,23,rencontre_D1F_2122_338.pdf,22,23,R,-1,-1,0,0,1,F,0,0,D1,2122,25,37,-12,-0.559700798208066
RADNRZY,JDA DIJON HANDBALL,MAZEL christophe,METZ HANDBALL,MAYONNADE emmanuel,J24,22,25,rencontre_D1F_2122_342.pdf,21,24,R,-1,-1,0,0,0,F,0,0,D1,2122,42,69,-27,-1.42394467779405
RADNRZZ,ES BESANCON FEMININ,MIZOULE sebastien,BOURG DE PEAGE DROME HANDBALL,COMTE camille,J24,23,24,rencontre_D1F_2122_343.pdf,23,24,R,-1,-1,0,1,0,F,0,0,D1,2122,55,54,1,0.189310564099787
RADNSAC,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,JDA DIJON HANDBALL,MAZEL christophe,J25,25,23,rencontre_D1F_2122_346.pdf,24,22,R,1,1,1,0,0,F,0,0,D1,2122,47,43,4,0.381256688046715
RADNSAG,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J25,26,27,rencontre_D1F_2122_350.pdf,26,26,R,0,-1,0,0,0,F,0,0,D1,2122,32,46,-14,-0.762513376093429
RADNSAM,FLEURY LOIRET HANDBALL,CASSAN christophe,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J26,31,30,rencontre_D1F_2122_356.pdf,30,29,R,1,1,1,0,0,F,1,0,D1,2122,32,34,-2,-0.410054263700528
RADNSAN,JDA DIJON HANDBALL,MAZEL christophe,MERIGNAC HANDBALL,CHAGNARD christophe,J26,28,23,rencontre_D1F_2122_357.pdf,26,23,R,1,1,1,0,0,F,0,0,D1,2122,47,42,5,0.217841327590905
RADNURG,ACHENHEIM TRUCHTERSHEIM,FRITSCHMANN frederic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J1,28,26,rencontre_D2F_1_2122_144.pdf,27,24,R,1,1,1,0,0,F,1,0,D2,2122,0,0,0,0
RADNURM,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J2,29,30,rencontre_D2F_1_2122_150.pdf,29,29,R,0,-1,0,0,1,F,1,0,D2,2122,NA,1,NA,NA
RADNURO,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J2,30,31,rencontre_D2F_1_2122_152.pdf,29,30,R,-1,-1,0,0,1,F,1,1,D2,2122,1,3,-2,-0.730296743340221
RADNURU,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J3,24,22,rencontre_D2F_1_2122_158.pdf,23,21,R,1,1,1,0,0,F,0,0,D2,2122,4,2,2,0
RADNURW,ACHENHEIM TRUCHTERSHEIM,BASNY jan,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,21,20,rencontre_D2F_1_2122_160.pdf,21,20,R,1,1,1,1,0,F,0,0,D2,2122,6,2,4,0.912870929175277
RADNUSA,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J4,33,28,rencontre_D2F_1_2122_164.pdf,30,28,R,1,1,1,0,0,F,0,1,D2,2122,3,3,0,0
RADNUSB,NOISY LE GRAND HANDBALL,GHERRAM farid,HBC AULNOYE AYMERIES,PETIT clement,J4,28,26,rencontre_D2F_1_2122_165.pdf,28,25,R,1,1,1,0,0,F,0,0,D2,2122,7,9,-2,0
RADNUSC,HB OCTEVILLE SUR MER,BOIVIN gautier,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J4,23,22,rencontre_D2F_1_2122_166.pdf,22,21,R,1,1,1,1,0,F,0,0,D2,2122,3,7,-4,-1.11803398874989
RADNUSE,STELLA SAINT-MAUR HANDBALL,SAMSON remi,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J4,29,25,rencontre_D2F_1_2122_168.pdf,26,24,R,1,1,1,0,0,F,0,0,D2,2122,5,9,-4,-1.11803398874989
RADNUSF,HAVRE ATHLETIC CLUB HB,PELLAN stephane,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J4,27,25,rencontre_D2F_1_2122_169.pdf,26,24,R,1,1,1,1,0,F,0,0,D2,2122,7,7,0,0
RADNUSI,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HB OCTEVILLE SUR MER,BOIVIN gautier,J5,31,28,rencontre_D2F_1_2122_172.pdf,25,22,R,1,1,1,0,0,F,0,0,D2,2122,NA,6,NA,NA
RADNUSJ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,NOISY LE GRAND HANDBALL,GHERRAM farid,J5,36,33,rencontre_D2F_1_2122_173.pdf,35,33,R,1,1,1,0,0,F,0,0,D2,2122,10,10,0,0
RADNUSO,HB OCTEVILLE SUR MER,BOIVIN gautier,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J6,23,25,rencontre_D2F_1_2122_178.pdf,22,24,R,-1,-1,0,0,1,F,0,0,D2,2122,7,7,0,0
RADNUSQ,STELLA SAINT-MAUR HANDBALL,SAMSON remi,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J6,26,24,rencontre_D2F_1_2122_180.pdf,26,24,R,1,1,1,1,0,F,0,0,D2,2122,11,7,4,1.1405318970244
RADNUSR,NOISY LE GRAND HANDBALL,GHERRAM farid,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J6,25,26,rencontre_D2F_1_2122_181.pdf,25,25,R,0,-1,0,0,0,F,0,0,D2,2122,11,11,0,0
RADNUSS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J6,24,27,rencontre_D2F_1_2122_182.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2122,11,9,2,0.712832435640251
RADNUST,RENNES METROPOLE HB,MANTES olivier,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J6,26,27,rencontre_D2F_1_2122_183.pdf,24,27,R,-1,-1,0,0,0,F,0,0,D2,2122,7,13,-6,-0.997965409896352
RADNUSV,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,HBC AULNOYE AYMERIES,PETIT clement,J7,24,27,rencontre_D2F_1_2122_185.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2122,16,16,0,0
RADNUTA,ASUL VAULX EN VELIN,SEUTCHIE ludovic,RENNES METROPOLE HB,MANTES olivier,J7,23,22,rencontre_D2F_1_2122_190.pdf,23,22,R,1,1,1,1,0,F,0,0,D2,2122,12,8,4,0.350823207722812
RADNUTC,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HB OCTEVILLE SUR MER,BOIVIN gautier,J8,26,25,rencontre_D2F_1_2122_192.pdf,26,24,R,1,1,1,0,0,F,0,0,D2,2122,17,9,8,1.34839972492648
RADNUTD,HBC AULNOYE AYMERIES,PETIT clement,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J8,24,22,rencontre_D2F_1_2122_193.pdf,23,21,R,1,1,1,0,0,F,0,0,D2,2122,19,17,2,0.337099931231621
RADNUTI,HBC ST AMAND LES EAUX PORTE DU HAINAUT,CARRACEDO felix,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2122_198.pdf,25,25,R,0,1,1,0,1,F,0,0,D2,2122,NA,20,NA,NA
RADNUTK,HB OCTEVILLE SUR MER,BOIVIN gautier,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J9,25,27,rencontre_D2F_1_2122_200.pdf,24,26,R,-1,-1,0,0,0,F,0,1,D2,2122,10,15,-5,-1.11870556712781
RADNUTO,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,NOISY LE GRAND HANDBALL,GHERRAM farid,J9,22,25,rencontre_D2F_1_2122_204.pdf,22,23,R,-1,-1,0,0,0,F,0,1,D2,2122,NA,18,NA,NA
RADNUTP,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J10,26,27,rencontre_D2F_1_2122_205.pdf,26,27,R,-1,-1,0,0,0,F,0,0,D2,2122,20,25,-5,-1.13714706536836
RADNUTQ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J10,22,24,rencontre_D2F_1_2122_206.pdf,22,23,R,-1,-1,0,0,0,F,0,0,D2,2122,18,21,-3,-0.682288239221013
RADNUTT,HBC AULNOYE AYMERIES,PETIT clement,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J10,28,31,rencontre_D2F_1_2122_209.pdf,28,30,R,-1,-1,0,0,1,F,1,0,D2,2122,25,19,6,1.36457647844203
RADNUTV,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J10,23,29,rencontre_D2F_1_2122_211.pdf,23,26,R,-1,-1,0,0,0,F,1,0,D2,2122,9,13,-4,-0.909717652294684
RADNUTZ,ASUL VAULX EN VELIN,SEUTCHIE ludovic,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J11,23,24,rencontre_D2F_1_2122_215.pdf,23,24,R,-1,-1,0,1,0,F,0,0,D2,2122,22,22,0,0
RADNUUD,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J12,33,34,rencontre_D2F_1_2122_219.pdf,33,33,R,0,-1,0,1,1,F,0,0,D2,2122,24,29,-5,-0.926245470849336
RADNUUE,RENNES METROPOLE HB,BOULAIRE valentin,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J12,25,27,rencontre_D2F_1_2122_220.pdf,25,26,R,-1,-1,0,1,0,F,0,0,D2,2122,17,22,-5,-0.926245470849336
RADNUUF,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J12,34,33,rencontre_D2F_1_2122_221.pdf,33,33,R,0,1,1,1,1,F,0,1,D2,2122,24,23,1,0.252612401140728
RADNUUL,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J13,25,28,rencontre_D2F_1_2122_227.pdf,24,27,R,-1,-1,0,0,0,F,0,0,D2,2122,24,25,-1,-0.317005057888396
RADNUUM,HAVRE ATHLETIC CLUB HB,PELLAN stephane,NOISY LE GRAND HANDBALL,GHERRAM farid,J13,23,24,rencontre_D2F_1_2122_228.pdf,22,23,R,-1,-1,0,0,0,F,0,1,D2,2122,25,26,-1,-0.317005057888396
RADNUUN,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J13,27,24,rencontre_D2F_1_2122_229.pdf,25,23,R,1,1,1,0,0,F,0,0,D2,2122,NA,27,NA,NA
RADNUUZ,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J15,24,23,rencontre_D2F_1_2122_241.pdf,23,23,R,0,1,1,0,0,F,0,0,D2,2122,26,24,2,0.271375629627919
RADNUVC,HBC AULNOYE AYMERIES,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J15,24,24,rencontre_D2F_1_2122_244.pdf,24,23,R,1,0,0,1,0,F,0,1,D2,2122,34,29,5,0.746282981476778
RADNUVE,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J15,24,28,rencontre_D2F_1_2122_246.pdf,24,26,R,-1,-1,0,0,0,F,1,0,D2,2122,30,34,-4,-0.678439074069798
RADNUVN,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J17,23,25,rencontre_D2F_1_2122_255.pdf,22,23,R,-1,-1,0,0,0,F,0,0,D2,2122,NA,31,NA,NA
RADNUVQ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,RENNES METROPOLE HB,MANTES olivier,J17,27,24,rencontre_D2F_1_2122_258.pdf,25,23,R,1,1,1,1,0,F,1,0,D2,2122,32,25,7,-0.0148380364997748
RADNUVU,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,HBC AULNOYE AYMERIES,PETIT clement,J18,0,1,rencontre_D2F_1_2122_262.pdf,0,1,R,-1,-1,0,0,0,F,0,0,D2,2122,17,42,-25,-1.67719617605902
RADNUVY,RENNES METROPOLE HB,MANTES olivier,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J18,24,25,rencontre_D2F_1_2122_266.pdf,24,25,R,-1,-1,0,0,0,F,0,0,D2,2122,26,38,-12,-0.52964089770285006
RADNUVZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J18,32,31,rencontre_D2F_1_2122_267.pdf,31,30,R,1,1,1,0,0,F,0,1,D2,2122,35,36,-1,0.441367414752375
RADNUWB,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,HB OCTEVILLE SUR MER,BOIVIN gautier,J19,33,29,rencontre_D2F_1_2122_269.pdf,32,29,R,1,1,1,1,0,F,0,0,D2,2122,35,29,6,-0.046463906916458
RADNUWD,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J19,24,26,rencontre_D2F_1_2122_271.pdf,23,26,R,-1,-1,0,0,0,F,0,1,D2,2122,NA,46,NA,NA
RADNUWF,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J19,28,31,rencontre_D2F_1_2122_273.pdf,28,30,R,-1,-1,0,0,0,F,0,0,D2,2122,35,38,-3,-1.30098939366083
RADNUWG,ACHENHEIM TRUCHTERSHEIM,BASNY jan,RENNES METROPOLE HB,MANTES olivier,J19,25,29,rencontre_D2F_1_2122_274.pdf,25,28,R,-1,-1,0,0,0,F,0,0,D2,2122,37,27,10,0.511102976081039
RADNUWJ,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J20,28,24,rencontre_D2F_1_2122_277.pdf,27,24,R,1,1,1,1,0,F,0,0,D2,2122,49,38,11,0.895615517563264
RADNUWM,NOISY LE GRAND HANDBALL,GHERRAM farid,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J20,30,28,rencontre_D2F_1_2122_280.pdf,29,26,R,1,1,1,1,0,F,1,0,D2,2122,42,38,4,0.433666461135896
RADNUWN,RENNES METROPOLE HB,MANTES olivier,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J20,24,24,rencontre_D2F_1_2122_281.pdf,23,24,R,-1,0,1,0,1,F,0,1,D2,2122,30,36,-6,-0.226260762331772
RADNUWR,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J21,26,23,rencontre_D2F_1_2122_285.pdf,25,23,R,1,1,1,1,0,F,1,0,D2,2122,39,44,-5,-0.308068275495613
RADNUWU,ASUL VAULX EN VELIN,SEUTCHIE ludovic,NOISY LE GRAND HANDBALL,GHERRAM farid,J21,25,23,rencontre_D2F_1_2122_288.pdf,24,22,R,1,1,1,0,0,F,0,0,D2,2122,38,45,-7,-0.440097536422304
RADNUWW,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J22,28,31,rencontre_D2F_1_2122_290.pdf,27,30,R,-1,-1,0,0,0,F,0,0,D2,2122,41,47,-6,-0.470437536140385
RADNUXD,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J23,25,27,rencontre_D2F_1_2122_297.pdf,25,26,R,-1,-1,0,0,0,F,0,0,D2,2122,58,48,10,1.17525123680567
RADNUXE,ACHENHEIM TRUCHTERSHEIM,BASNY jan,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J23,22,20,rencontre_D2F_1_2122_298.pdf,21,20,R,1,1,1,0,0,F,1,0,D2,2122,43,42,1,0.117525123680567
RADNUXF,HB OCTEVILLE SUR MER,BOIVIN gautier,RENNES METROPOLE HB,MANTES olivier,J23,27,30,rencontre_D2F_1_2122_299.pdf,26,29,R,-1,-1,0,0,0,F,0,0,D2,2122,33,38,-5,-0.587625618402836
RADNUXJ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J24,25,26,rencontre_D2F_1_2122_303.pdf,25,26,R,-1,-1,0,1,0,F,0,0,D2,2122,51,62,-11,-0.562099789981034
RADNUXK,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J24,29,30,rencontre_D2F_1_2122_304.pdf,27,28,R,-1,-1,0,0,0,F,1,0,D2,2122,52,46,6,0.436256553418116
RADNUXN,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J24,27,26,rencontre_D2F_1_2122_307.pdf,27,26,R,1,1,1,1,0,F,0,0,D2,2122,50,34,16,1.02352499071173
RADNUXU,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J25,27,29,rencontre_D2F_1_2122_314.pdf,27,28,R,-1,-1,0,0,0,F,0,0,D2,2122,NA,46,NA,NA
RADNUXV,HB OCTEVILLE SUR MER,BOIVIN gautier,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,J25,31,28,rencontre_D2F_1_2122_315.pdf,31,28,R,1,1,1,1,0,F,0,0,D2,2122,35,24,11,0.579440668313192
RADNUXZ,NOISY LE GRAND HANDBALL,GHERRAM farid,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J26,24,25,rencontre_D2F_1_2122_319.pdf,23,25,R,-1,-1,0,0,1,F,0,0,D2,2122,55,58,-3,-0.0173720249586867
RADNUYC,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J26,28,26,rencontre_D2F_1_2122_322.pdf,27,26,R,1,1,1,1,0,F,0,0,D2,2122,52,51,1,0.144766874655723
RADNUYD,HBC AULNOYE AYMERIES,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J26,21,18,rencontre_D2F_1_2122_323.pdf,21,18,R,1,1,1,0,0,F,0,0,D2,2122,66,39,27,1.19866972214938
RADNYBO,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,LIMOGES HAND,HAYATOUNE tarik,J1,31,29,rencontre_D1H_2122_439.pdf,29,28,R,1,1,1,0,0,H,0,0,D1,2122,0,NA,NA,NA
RADNYBP,CESSON RENNES METROPOLE HB,LERICHE sebastien,HBC NANTES,RODRIGUEZ alberto,J1,29,27,rencontre_D1H_2122_440.pdf,27,27,R,0,1,1,0,0,H,0,0,D1,2122,0,0,0,0
RADNYBQ,C'CHARTRES METROPOLE HANDBALL,SALAET toni,GRAND NANCY METROPOLE HB,BRAUX benjamin,J1,28,27,rencontre_D1H_2122_441.pdf,27,27,R,0,1,1,1,1,H,0,1,D1,2122,0,NA,NA,NA
RADNYBS,MONTPELLIER HANDBALL,CANAYER patrice,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,29,29,rencontre_D1H_2122_443.pdf,27,28,R,-1,0,1,0,1,H,0,1,D1,2122,0,NA,NA,NA
RADNYCD,SARAN LOIRET HB,COURTIAL fabien,US CRETEIL HANDBALL,DELGADO fernando,J2,25,28,rencontre_D1H_2122_454.pdf,25,27,R,-1,-1,0,0,0,H,0,0,D1,2122,NA,3,NA,NA
RADNYCJ,USAM NIMES GARD,MAURICE franck,LIMOGES HAND,HAYATOUNE tarik,J3,30,28,rencontre_D1H_2122_460.pdf,29,27,R,1,1,1,1,0,H,1,0,D1,2122,6,NA,NA,NA
RADNYCL,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,GRAND NANCY METROPOLE HB,BRAUX benjamin,J3,22,24,rencontre_D1H_2122_462.pdf,22,23,R,-1,-1,0,0,0,H,0,0,D1,2122,2,NA,NA,NA
RADNYCP,LIMOGES HAND,HAYATOUNE tarik,ISTRES PROVENCE HANDBALL,DEROT gilles,J4,34,37,rencontre_D1H_2122_466.pdf,33,36,R,-1,-1,0,0,1,H,0,0,D1,2122,NA,4,NA,NA
RADNYCV,CHAMBERY SAVOIE HB,MATHE erick,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J5,24,25,rencontre_D1H_2122_472.pdf,24,25,R,-1,-1,0,1,0,H,0,0,D1,2122,10,7,3,1.6396255953794
RADNYCX,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J5,26,23,rencontre_D1H_2122_474.pdf,25,22,R,1,1,1,0,0,H,0,0,D1,2122,4,6,-2,-0.771588515472659
RADNYCY,ISTRES PROVENCE HANDBALL,DEROT gilles,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J5,28,30,rencontre_D1H_2122_475.pdf,27,29,R,-1,-1,0,0,1,H,1,0,D1,2122,7,9,-2,-0.771588515472659
RADNYCZ,HBC NANTES,RODRIGUEZ alberto,LIMOGES HAND,HAYATOUNE tarik,J5,27,29,rencontre_D1H_2122_476.pdf,26,28,R,-1,-1,0,0,1,H,0,0,D1,2122,9,NA,NA,NA
