"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEDKNA","TOULOUSE FEMININ HANDBALL","VEDEL fabien","SAMBRE AVESNOIS HANDBALL","PETIT clement",23,27,"rencontre_D2F_1_2223_448.pdf","J14",23,25,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","toulouse feminin handball","sambre avesnois handball",44,54,10
"SAEDKNE","PALENTE BESANCON HANDBALL","SECK cheikh","HAVRE ATHLETIC CLUB HB","PELLAN stephane",26,27,"rencontre_D2F_1_2223_452.pdf","J15",26,27,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","palente besancon handball","havre athletic club hb",36,45,9
"SAEDKNG","SAMBRE AVESNOIS HANDBALL","PETIT clement","ACHENHEIM TRUCHTERSHEIM","BASNY jan",29,26,"rencontre_D2F_1_2223_454.pdf","J15",28,26,"R",1,1,1,0,0,"F",0,0,"D2","2223","sambre avesnois handball","achenheim truchtersheim",54,63,9
"SAEDKNI","HAVRE ATHLETIC CLUB HB","PELLAN stephane","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,24,"rencontre_D2F_1_2223_456.pdf","J16",27,24,"R",1,1,1,0,0,"F",0,0,"D2","2223","havre athletic club hb","club athletique beglais",45,43,-2
"SAEDKNM","NOISY LE GRAND HANDBALL","GHERRAM farid","SAMBRE AVESNOIS HANDBALL","PETIT clement",28,27,"rencontre_D2F_1_2223_460.pdf","J16",26,26,"R",0,1,1,1,0,"F",0,0,"D2","2223","noisy le grand handball","sambre avesnois handball",55,54,-1
"SAEDKNN","ACHENHEIM TRUCHTERSHEIM","BASNY jan","STELLA SAINT-MAUR HANDBALL","SAMSON remi",28,25,"rencontre_D2F_1_2223_461.pdf","J16",28,25,"R",1,1,1,0,0,"F",1,0,"D2","2223","achenheim truchtersheim","stella saint-maur handball",63,66,3
"SAEDKNO","TOULOUSE FEMININ HANDBALL","VEDEL fabien","PALENTE BESANCON HANDBALL","SECK cheikh",30,28,"rencontre_D2F_1_2223_462.pdf","J16",29,27,"R",1,1,1,1,0,"F",0,0,"D2","2223","toulouse feminin handball","palente besancon handball",44,36,-8
"SAEDKNQ","HAVRE ATHLETIC CLUB HB","PELLAN stephane","NOISY LE GRAND HANDBALL","GHERRAM farid",29,31,"rencontre_D2F_1_2223_464.pdf","J17",28,31,"R",-1,-1,0,0,0,"F",0,1,"D2","2223","havre athletic club hb","noisy le grand handball",45,55,10
"SAEDKNR","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","LOMME LILLE METROPOLE HB","WORM laurent",30,30,"rencontre_D2F_1_2223_465.pdf","J17",30,29,"R",1,0,0,0,1,"F",1,0,"D2","2223","saint gregoire rennes metropole hb","lomme lille metropole hb",38,41,3
"SAEDKNT","PALENTE BESANCON HANDBALL","SECK cheikh","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",24,24,"rencontre_D2F_1_2223_467.pdf","J17",22,24,"R",-1,0,1,0,1,"F",0,1,"D2","2223","palente besancon handball","bouillargues handball nimes metropole",36,45,9
"SAEDKNU","STELLA SAINT-MAUR HANDBALL","SAMSON remi","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",32,33,"rencontre_D2F_1_2223_468.pdf","J17",30,32,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","stella saint-maur handball","handball clermont auvergne metropole 63",66,53,-13
"SAEDKNW","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",30,26,"rencontre_D2F_1_2223_470.pdf","J18",29,26,"R",1,1,1,0,0,"F",0,0,"D2","2223","bouillargues handball nimes metropole","club athletique beglais",45,43,-2
"SAEDKNZ","NOISY LE GRAND HANDBALL","GHERRAM farid","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",22,19,"rencontre_D2F_1_2223_473.pdf","J18",21,19,"R",1,1,1,0,0,"F",0,0,"D2","2223","noisy le grand handball","toulouse feminin handball",55,44,-11
"SAEDKOB","SAMBRE AVESNOIS HANDBALL","PETIT clement","STELLA SAINT-MAUR HANDBALL","SAMSON remi",24,25,"rencontre_D2F_1_2223_475.pdf","J18",22,25,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","sambre avesnois handball","stella saint-maur handball",54,66,12
"SAEDKOC","HANDBALL CLERMONT AUVERGNE METROPOLE 63","SAUVAL florence","PALENTE BESANCON HANDBALL","SECK cheikh",36,34,"rencontre_D2F_1_2223_476.pdf","J18",35,34,"R",1,1,1,0,0,"F",0,1,"D2","2223","handball clermont auvergne metropole 63","palente besancon handball",53,36,-17
"SAEDKOD","ASUL VAULX EN VELIN","MODENEL sebastien","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,27,"rencontre_D2F_1_2223_477.pdf","J19",26,27,"R",-1,0,1,0,1,"F",0,0,"D2","2223","asul vaulx en velin","handball clermont auvergne metropole 63",38,53,15
"SAEDKOE","HAVRE ATHLETIC CLUB HB","PELLAN stephane","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",23,25,"rencontre_D2F_1_2223_478.pdf","J19",23,24,"R",-1,-1,0,0,1,"F",1,0,"D2","2223","havre athletic club hb","toulouse feminin handball",45,44,-1
"SAEDKOF","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","ACHENHEIM TRUCHTERSHEIM","BASNY jan",24,25,"rencontre_D2F_1_2223_479.pdf","J19",24,24,"R",0,-1,0,0,0,"F",1,0,"D2","2223","saint gregoire rennes metropole hb","achenheim truchtersheim",38,63,25
"SAEDKOK","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","STELLA SAINT-MAUR HANDBALL","SAMSON remi",23,24,"rencontre_D2F_1_2223_484.pdf","J20",22,23,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","bouillargues handball nimes metropole","stella saint-maur handball",45,66,21
"SAEDKON","NOISY LE GRAND HANDBALL","GHERRAM farid","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",28,25,"rencontre_D2F_1_2223_487.pdf","J20",27,25,"R",1,1,1,1,0,"F",1,0,"D2","2223","noisy le grand handball","saint gregoire rennes metropole hb",55,38,-17
