code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
SAEEAHZ,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,LIMOGES HAND,RODRIGUEZ alberto,J19,33,33,rencontre_D1H_2223_4096.pdf,17,16,1773,19,16,R,1,1,0,1,0,0,H,0,0,D1,2223
SAEEAIA,SAINT RAPHAEL VHB,BRAUX benjamin,MONTPELLIER HANDBALL,CANAYER patrice,J19,34,38,rencontre_D1H_2223_4097.pdf,14,16,1799,16,17,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAIC,ISTRES PROVENCE HANDBALL,DEROT gilles,CESSON RENNES METROPOLE HB,LERICHE sebastien,J19,27,30,rencontre_D1H_2223_4099.pdf,15,13,1773,15,13,R,1,1,-1,1,0,0,H,1,1,D1,2223
SAEEAID,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,US IVRY HANDBALL,DINART didier,J19,30,32,rencontre_D1H_2223_4100.pdf,12,15,1799,13,15,R,-1,-1,-1,0,0,0,H,0,1,D1,2223
SAEEAIG,MONTPELLIER HANDBALL,CANAYER patrice,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J20,27,24,rencontre_D1H_2223_4103.pdf,11,12,1792,11,12,R,-1,-1,1,0,1,0,H,1,0,D1,2223
SAEEAII,CESSON RENNES METROPOLE HB,LERICHE sebastien,HBC NANTES,COJEAN gregory,J20,26,35,rencontre_D1H_2223_4105.pdf,14,15,1761,14,15,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAIJ,DUNKERQUE HANDBALL GRAND LITTORAL,MAURICE franck,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,J20,29,28,rencontre_D1H_2223_4106.pdf,10,11,1776,11,11,R,-1,0,1,1,0,0,H,0,1,D1,2223
SAEEAIN,HBC NANTES,COJEAN gregory,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J21,33,33,rencontre_D1H_2223_4110.pdf,13,14,1796,14,14,R,-1,0,0,1,0,0,H,0,0,D1,2223
SAEEAIO,USAM NIMES GARD,VRANJES ljubomir,CESSON RENNES METROPOLE HB,LERICHE sebastien,J21,33,28,rencontre_D1H_2223_4111.pdf,15,14,1779,15,14,R,1,1,1,1,1,0,H,0,0,D1,2223
SAEEAIP,SAINT RAPHAEL VHB,BRAUX benjamin,CHAMBERY SAVOIE HB,MATHE erick,J21,32,26,rencontre_D1H_2223_4112.pdf,14,13,1795,15,13,R,1,1,1,1,1,0,H,0,0,D1,2223
