;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J30
120;MONTPELLIER HANDBALL;D1;2021;H;29;77;3;3;3;2;3;3;3;2;3;3;3;3;1;3;3;3;3;3;NA;3;3;3;1;3;3;2;2;3;3;1
121;PARIS SAINT-GERMAIN HANDBALL;D1;2021;H;29;84;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;1;3;NA;3;3;3;3
122;PROVENCE AIX UNIVERSITE CLUB HANDBALL;D1;2021;H;30;70;1;1;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;1;1;1;3;3;3;1;1;3;1;1;3;3
123;SAINT RAPHAEL VAR HANDBALL;D1;2021;H;30;58;2;2;1;3;1;1;1;3;1;2;3;1;3;3;3;1;1;3;3;1;3;3;1;1;3;1;2;1;1;3
124;TREMBLAY HANDBALL;D1;2021;H;29;37;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;3;3;1;1;1;1;1;1;1;NA;1;1;2;1
125;UNION SPORTIVE IVRY HANDBALL;D1;2021;H;30;46;1;2;1;3;1;1;1;1;1;1;1;1;3;1;3;3;1;1;1;3;1;2;1;3;1;1;1;1;3;1
126;US CRETEIL HANDBALL;D1;2021;H;27;45;3;1;NA;3;1;1;NA;1;1;1;1;1;1;3;1;1;1;1;3;1;NA;3;1;3;1;3;3;1;1;3
127;USAM NIMES GARD;D1;2021;H;30;68;3;3;1;1;2;3;3;1;3;3;1;3;3;3;3;1;3;2;1;3;3;1;3;3;3;1;2;3;2;1
128;ANGERS SCO HANDBALL;D2;2021;H;23;32;1;1;3;1;1;1;NA;1;1;2;1;1;3;1;1;1;3;1;1;NA;1;NA;3;1;1;1;NA;NA;NA;NA
129;BILLERE HANDBALL PAU PYRENEES;D2;2021;H;26;46;1;1;3;1;2;1;3;3;1;2;3;3;1;3;1;2;1;1;1;2;1;1;3;1;3;1;NA;NA;NA;NA
130;CAVIGAL NICE HANDBALL;D2;2021;H;26;50;1;2;1;1;1;3;1;2;3;1;2;3;3;3;3;1;3;3;1;1;3;1;1;1;2;3;NA;NA;NA;NA
131;DIJON METROPOLE HANDBALL;D2;2021;H;26;54;1;3;3;1;1;3;3;1;3;1;3;3;3;1;2;3;1;1;3;2;3;3;1;1;1;3;NA;NA;NA;NA
132;GRAND BESANCON DOUBS HANDBALL;D2;2021;H;26;44;3;3;1;1;1;1;1;2;3;1;1;2;1;1;1;1;3;3;3;2;3;1;1;1;2;1;NA;NA;NA;NA
133;GRAND NANCY METROPOLE HANDBALL;D2;2021;H;23;53;3;3;3;3;3;1;NA;3;3;3;3;1;1;1;1;3;3;3;NA;3;1;NA;3;3;1;1;NA;NA;NA;NA
134;JS CHERBOURGEOISE MANCHE HANDBALL;D2;2021;H;26;61;3;1;3;3;3;3;1;3;1;3;3;3;3;3;3;1;1;3;3;1;1;2;3;3;1;3;NA;NA;NA;NA
135;MASSY ESSONNE HANDBALL;D2;2021;H;25;55;1;1;3;3;3;3;NA;3;3;3;2;1;1;3;2;1;1;3;3;1;3;3;3;1;1;3;NA;NA;NA;NA
136;SARAN LOIRET HANDBALL;D2;2021;H;25;66;3;3;1;3;3;1;3;2;3;3;3;3;3;1;3;3;NA;3;3;3;3;3;1;3;3;3;NA;NA;NA;NA
