;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
112;SMV VERNON - SAINT MARCEL;N1;2223;H;26;60;2;3;3;3;3;3;3;1;1;3;3;3;1;3;1;1;3;3;3;1;3;3;3;1;2;1
113;TORCY HANDBALL MARNE-LA-VALLEE;N1;2223;H;26;55;1;1;1;1;2;3;3;1;3;3;3;3;1;3;1;3;3;3;3;3;3;1;1;3;1;1
114;TREMBLAY HANDBALL;N1;2223;H;26;71;2;2;3;1;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3
115;UNION SPORTIVE DREUX VERNOUILLET HANDBALL;N1;2223;H;24;35;1;2;1;3;1;3;3;1;1;NA;1;1;3;1;1;1;1;1;1;1;1;1;NA;3;1;1
116;UNION SPORTIVE IVRY HANDBALL;N1;2223;H;26;49;3;1;3;1;1;3;1;3;2;1;1;3;3;3;1;1;2;2;1;1;1;3;3;1;1;3
117;US CRETEIL HANDBALL;N1;2223;H;26;47;1;2;3;3;1;2;1;1;1;3;1;1;1;1;1;1;1;3;1;1;3;3;3;3;3;2
118;US SAINTES HANDBALL;N1;2223;H;24;46;3;3;2;3;3;1;3;3;1;1;3;NA;3;1;1;1;1;1;3;2;1;2;1;1;NA;2
119;ANNECY CSAV HANDBALL;N1;2324;H;22;56;1;3;3;1;1;3;3;3;3;1;3;3;3;3;3;3;3;1;3;3;3;3;NA;NA;NA;NA
120;ASB REZE HANDBALL;N1;2324;H;24;64;3;3;3;3;3;3;3;3;NA;3;3;3;2;3;3;3;3;3;3;3;1;NA;1;2;1;3
121;ASPTT MULHOUSE/RIXHEIM;N1;2324;H;22;48;3;3;1;3;1;1;3;3;3;1;3;3;1;1;3;1;3;3;3;1;3;1;NA;NA;NA;NA
122;ATHLETIC CLUB BOULOGNE BILLANCOURT;N1;2324;H;22;40;2;3;1;1;3;3;1;1;3;1;1;2;1;1;1;1;3;1;3;1;3;3;NA;NA;NA;NA
123;BELFORT AUHB;N1;2324;H;24;50;3;3;3;3;1;3;1;3;3;NA;2;3;1;3;3;3;1;1;1;2;2;1;NA;1;1;2
124;CERCLE PAUL BERT RENNES HB;N1;2324;H;24;53;1;2;2;2;3;1;3;1;3;3;1;3;NA;1;3;1;1;3;3;3;3;1;3;3;3;NA
125;CERCLE SPORTIF VESULIEN HAUTE SAONE;N1;2324;H;24;53;3;3;1;3;3;3;NA;3;1;3;1;3;3;3;3;3;2;1;3;NA;1;1;2;1;1;2
126;CESSON RENNES METROPOLE HB;N1;2324;H;24;43;1;1;3;1;1;1;1;3;1;3;3;NA;3;1;2;1;2;1;3;1;3;2;1;1;NA;3
127;CHAMBERY SAVOIE HB;N1;2324;H;24;50;1;3;1;NA;3;1;3;3;3;3;3;3;1;1;2;1;NA;1;1;2;3;1;3;3;3;1
128;CS BOURGOIN JALLIEU HB;N1;2324;H;24;36;1;1;1;1;3;3;3;1;1;1;NA;1;1;1;1;1;3;3;1;1;1;3;1;NA;1;1
129;ELITE VAL-D'OISE;N1;2324;H;22;41;3;1;1;1;3;1;1;2;3;3;1;3;1;1;1;3;1;3;3;1;1;3;NA;NA;NA;NA
130;FOLSCHVILLER;N1;2324;H;24;46;2;1;3;2;NA;1;3;1;3;1;3;3;3;2;2;1;3;NA;3;1;2;1;1;1;2;1
131;GONFREVILLE HANDBALL;N1;2324;H;22;32;1;1;1;1;3;1;1;2;1;3;3;1;1;1;3;2;1;1;1;1;1;1;NA;NA;NA;NA
132;GRAND POITIERS HANDBALL;N1;2324;H;24;46;3;3;1;1;1;2;3;1;1;NA;3;3;1;3;3;1;1;1;1;3;1;3;NA;2;3;1
133;HAND BALL CLUB GIEN LOIRET;N1;2324;H;24;39;1;1;3;3;1;NA;1;1;3;1;3;1;1;1;1;3;2;1;NA;3;1;1;1;3;1;1
134;HANDBALL CLUB DE LIVRY-GARGAN;N1;2324;H;24;54;3;NA;3;3;3;1;3;3;1;1;1;3;1;3;NA;3;3;2;3;1;1;3;3;2;3;1
135;HANDBALL HAZEBROUCK;N1;2324;H;22;42;1;3;1;1;1;3;3;2;1;3;3;3;3;1;3;1;1;3;1;1;1;2;NA;NA;NA;NA
136;HBC NANTES;N1;2324;H;24;52;3;2;NA;1;3;1;1;3;3;1;1;1;3;3;1;NA;1;3;3;3;3;3;3;2;1;3
137;HENNEBONT-LOCHRIST HB;N1;2324;H;24;47;1;3;1;3;3;3;1;NA;3;3;1;1;3;1;3;1;3;2;1;1;NA;1;1;3;1;3
138;LANESTER HB;N1;2324;H;22;34;2;1;2;3;1;3;1;1;1;1;1;2;1;1;1;1;1;1;1;3;3;2;NA;NA;NA;NA
139;LILLE METROPOLE - HANDBALL CLUB;N1;2324;H;24;44;2;1;NA;1;1;1;1;1;1;1;3;1;3;2;3;NA;1;3;3;3;1;1;3;1;3;3
140;MAINVILLIERS-CHARTRES HANDBALL;N1;2324;H;24;49;1;1;1;3;3;3;1;1;NA;1;3;1;3;1;1;2;3;1;3;3;1;NA;3;3;3;3
141;MARTIGUES HANDBALL;N1;2324;H;22;38;2;3;3;3;1;1;1;3;1;1;1;2;1;3;1;1;1;1;1;3;3;1;NA;NA;NA;NA
142;METZ HANDBALL;N1;2324;H;24;48;1;1;1;3;1;3;1;NA;3;3;2;3;1;2;1;3;3;3;1;1;NA;3;1;3;3;1
143;MOLSHEIM;N1;2324;H;24;48;NA;3;3;1;1;3;3;1;3;3;1;1;1;NA;3;2;3;1;3;1;3;1;1;1;2;3
144;PARIS SAINT-GERMAIN HANDBALL;N1;2324;H;22;45;3;1;2;3;1;2;3;3;1;3;3;1;3;3;1;2;2;2;1;3;1;1;NA;NA;NA;NA
145;POUZAUGES VENDEE HANDBALL;N1;2324;H;24;28;1;1;1;1;1;1;1;1;3;1;NA;1;1;1;1;1;1;2;1;1;1;2;1;NA;1;1
147;ROUEN HANDBALL;N1;2324;H;24;57;3;1;3;1;1;1;3;3;1;3;3;NA;3;3;1;3;2;3;1;3;3;3;3;3;NA;3
148;SAINT CYR HANDBALL;N1;2324;H;24;53;3;1;3;3;3;3;NA;1;1;1;2;3;1;3;1;3;3;3;1;NA;3;1;3;3;3;1
149;SARAN LOIRET HANDBALL;N1;2324;H;24;57;3;3;2;NA;1;3;3;3;1;3;3;1;3;3;2;3;NA;2;1;3;3;3;1;1;3;3
150;SMV VERNON - SAINT MARCEL;N1;2324;H;24;47;1;3;1;2;NA;3;3;1;1;3;2;3;2;1;3;3;3;NA;1;1;1;1;3;1;3;1
151;THIONVILLE MOSELLE HANDBALL;N1;2324;H;24;43;3;NA;3;1;3;1;1;1;1;1;1;1;1;1;NA;1;1;3;3;1;3;3;2;3;1;3
152;TORCY HANDBALL MARNE-LA-VALLEE;N1;2324;H;24;49;3;3;1;3;3;1;1;3;3;1;1;3;NA;2;3;1;1;1;1;3;1;3;1;3;3;NA
153;TREMBLAY HANDBALL;N1;2324;H;22;44;1;1;3;3;3;1;1;2;3;3;1;1;3;3;1;3;3;2;3;1;1;1;NA;NA;NA;NA
154;UNION SPORTIVE DREUX VERNOUILLET HANDBALL;N1;2324;H;22;58;3;1;3;3;3;3;3;1;3;3;3;1;3;3;3;3;3;3;3;3;1;3;NA;NA;NA;NA
155;UNION SPORTIVE IVRY HANDBALL;N1;2324;H;24;41;NA;1;1;1;1;2;1;3;3;1;1;1;3;NA;1;1;1;1;3;1;3;3;3;1;1;3
156;US CRETEIL HANDBALL;N1;2324;H;24;51;1;3;3;2;1;NA;3;3;1;3;1;1;3;3;1;3;1;3;NA;3;3;3;3;1;1;1
157;US SAINTES HANDBALL;N1;2324;H;22;50;2;3;3;1;3;2;3;1;1;1;1;2;3;3;3;3;2;3;1;3;3;3;NA;NA;NA;NA
