"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","match_joue","total_point"
"30","TREMBLAY-EN-FRANCE HANDBALL","D2","2223","H",1,4,6,9,12,15,18,21,24,27,30,33,36,38,39,42,45,48,49,52,53,56,59,62,65,68,71,72,75,77,30,77
"31","VALENCE HANDBALL","D2","2223","H",1,2,3,4,6,8,9,10,12,13,16,18,19,22,25,26,27,30,31,32,35,36,37,39,40,43,44,45,46,47,30,47
"32","VILLEURBANNE HANDBALL","D2","2223","H",1,2,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,25,26,28,29,30,31,32,33,36,37,38,30,38
"33","C'CHARTRES METROPOLE HANDBALL","D1","2324","H",1,2,5,6,9,10,13,16,17,18,19,20,21,22,25,26,29,31,34,37,38,39,40,41,42,43,44,47,48,50,30,50
"34","CESSON RENNES METROPOLE HB","D1","2324","H",1,2,3,4,5,8,9,12,13,14,15,18,19,20,21,24,25,28,31,32,35,37,39,42,43,44,45,48,49,51,30,51
"35","CHAMBERY SAVOIE HB","D1","2324","H",1,2,5,6,9,12,13,14,15,18,21,22,25,28,31,34,37,38,39,40,43,44,45,48,50,53,54,57,58,61,30,61
"36","DIJON METROPOLE HB","D1","2324","H",2,3,4,5,6,7,8,10,11,12,15,16,17,18,19,22,23,24,25,26,27,28,29,32,35,36,37,38,39,40,30,40
"37","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2324","H",1,4,5,6,8,9,12,13,14,17,18,19,22,23,26,27,28,31,34,35,38,41,42,43,46,47,50,52,55,56,30,56
"38","FENIX TOULOUSE HANDBALL","D1","2324","H",3,6,7,10,13,16,19,22,23,26,27,28,29,32,35,37,38,41,43,46,47,50,53,54,56,57,60,63,66,67,30,67
"39","HBC NANTES","D1","2324","H",3,6,9,11,12,15,18,21,24,27,30,33,36,37,40,43,46,48,51,54,57,60,63,66,69,72,75,78,81,84,30,84
"40","LIMOGES HAND","D1","2324","H",1,4,5,7,10,13,14,15,18,21,24,27,28,31,34,36,37,38,41,42,43,46,49,52,55,56,58,60,63,66,30,66
"41","MONTPELLIER HANDBALL","D1","2324","H",3,6,9,12,15,18,21,24,27,29,30,33,36,37,38,41,44,45,48,51,54,57,60,63,65,68,71,72,75,78,30,78
"42","PARIS SAINT-GERMAIN HANDBALL","D1","2324","H",3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,56,59,62,65,66,69,72,75,78,79,82,85,30,85
"43","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2324","H",3,4,7,10,11,12,15,18,19,20,21,24,25,28,31,32,35,36,39,42,43,44,45,48,51,54,57,58,59,60,30,60
"44","SAINT-RAPHAEL VHB","D1","2324","H",1,4,7,10,12,14,17,18,21,23,24,27,30,31,32,35,36,39,40,43,44,46,47,48,50,51,52,53,56,58,30,58
