code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_59_min,score_visiteur_59_min,equipe,statut_59_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADFUDX,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,GRAND NANCY METROPOLE HB,BRAUX benjamin,J25,28,27,rencontre_D2H_2021_703.pdf,27,26,R,1,1,1,1,1,H,0,0,D2,2021
PADFUEB,VALENCE HANDBALL,FORETS eric,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,J25,28,26,rencontre_D2H_2021_707.pdf,27,26,R,1,1,1,0,1,H,0,0,D2,2021
PADFUEG,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,J26,33,32,rencontre_D2H_2021_712.pdf,33,31,R,1,1,1,1,0,H,0,0,D2,2021
PADGSUL,BREST BRETAGNE HANDBALL,BEZEAU laurent,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,J4,26,25,rencontre_D1F_2021_7941.pdf,25,25,R,0,1,1,0,1,F,0,1,D1,2021
PADGYHM,C'CHARTRES METROPOLE HANDBALL,SALAET toni,HBC NANTAIS,RODRIGUEZ alberto,J2,24,25,rencontre_D1H_2021_360.pdf,24,25,R,-1,-1,0,0,1,H,0,0,D1,2021
PADHCQW,MERIGNAC HANDBALL,CARRARA philippe,BOURG DE PEAGE DROME HANDBALL,COMTE camille,J2,22,24,rencontre_D1F_2021_7923.pdf,21,23,R,-1,-1,0,0,0,F,0,0,D1,2021
PADHFAP,DIJON METROPOLE HB,CHADUTEAUD ulrich,ANGERS SCO HANDBALL,DUPIN guillaume,J11,24,23,rencontre_D2H_2021_605.pdf,24,23,R,1,1,1,0,0,H,0,0,D2,2021
PADHGXZ,CHAMBERY SAVOIE HB,MATHE erick,LIMOGES HAND,HAYATOUNE tarik,J3,29,32,rencontre_D1H_2021_368.pdf,29,32,R,-1,-1,0,0,0,H,0,0,D1,2021
PADHIED,USAM NIMES GARD,MAURICE franck,US CRETEIL HANDBALL,MONTORIER pierre,J4,22,25,rencontre_D1H_2021_380.pdf,22,24,R,-1,-1,0,0,0,H,0,0,D1,2021
PADIYGQ,TREMBLAY EN FRANCE HANDBALL,SILVA joel,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J4,24,25,rencontre_D1H_2021_382.pdf,23,25,R,-1,-1,0,0,0,H,0,0,D1,2021
