club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
HB FEMININ MONTPELLIER;N1;2122;F;26;57;3;3;1;3;2;2;1;1;3;3;3;3;1;1;3;1;2;2;3;2;1;3;3;3;1;3
HB GARDEEN;N1;2122;F;26;38;1;1;1;1;3;1;3;1;1;1;1;1;3;1;1;1;3;3;1;1;1;1;1;1;1;3
HBC BULLY LES MINES;N1;2122;F;26;34;1;3;1;1;1;1;1;1;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;1;1;1
HBC ECHIROLLES-EYBENS;N1;2122;F;26;45;1;3;1;3;1;1;1;3;3;2;3;1;3;1;1;1;1;1;1;3;1;3;1;3;1;1
JDA DIJON HANDBALL;N1;2122;F;26;71;3;3;3;3;3;1;3;3;3;1;3;3;3;3;3;3;2;3;1;3;3;3;3;3;3;3
LA MOTTE SERVOLEX HB;N1;2122;F;26;66;1;1;3;3;3;3;1;3;3;3;3;3;3;3;1;3;1;3;3;1;3;3;3;3;3;3
LA ROCHE SUR YON VENDEE HB;N1;2122;F;26;64;3;1;3;1;3;3;3;3;3;3;1;1;3;3;2;2;1;3;3;3;3;3;3;3;1;3
LE POUZIN HB;N1;2122;F;26;73;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;1;3;2;3;3
LES NEPTUNES DE NANTES;N1;2122;F;26;64;2;3;3;3;3;3;1;2;3;1;3;3;3;1;2;1;3;3;3;1;3;2;3;3;3;3
LIMOGES HANDBALL;N1;2122;F;26;36;3;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;1;3;1;1;3;1;1
LOMME LILLE METROPOLE HB;N1;2122;F;26;77;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
MERIGNAC HANDBALL;N1;2122;F;26;48;1;3;1;1;1;3;1;3;1;1;1;3;1;1;3;1;1;3;3;1;3;1;3;1;3;3
METZ HANDBALL;N1;2122;F;26;67;3;3;3;3;1;3;3;2;1;3;3;3;3;3;3;3;3;1;3;3;3;1;1;3;3;3
MONCOUTANT SAM;N1;2122;F;26;49;3;2;1;1;3;1;1;3;1;3;3;3;1;3;1;1;1;3;1;1;1;1;3;3;3;1
MONTIGNY LES METZ;N1;2122;F;26;44;2;3;3;1;1;3;1;2;3;3;1;1;1;1;1;3;1;1;3;1;1;1;3;1;1;1
MOURENX HANDBALL;N1;2122;F;26;30;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1
NARBONNE HANDBALL;N1;2122;F;26;36;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;3;1
OGC NICE COTE D'AZUR HANDBALL;N1;2122;F;26;45;3;1;1;1;1;1;1;3;1;1;3;3;3;3;3;1;2;1;1;1;1;1;1;3;1;3
PALENTE BESANCON HANDBALL;N1;2122;F;26;78;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
REICHSTETT;N1;2122;F;26;33;1;1;1;1;1;1;1;3;1;2;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1
REIMS CHAMPAGNE HANDBALL;N1;2122;F;26;57;3;1;1;3;2;3;3;3;3;3;3;1;3;3;1;3;1;1;1;3;3;3;1;3;1;1
RENNES METROPOLE HB;N1;2122;F;26;41;3;1;3;1;3;3;1;1;3;1;1;1;NA;3;1;3;1;1;1;1;1;1;1;1;3;1
ROUEN HANDBALL;N1;2122;F;26;68;1;3;3;3;3;3;3;2;3;3;1;3;3;3;3;3;3;3;2;3;1;3;3;1;3;3
SAINT-FLOUR HANDBALL;N1;2122;F;26;43;3;3;1;1;1;2;1;1;1;1;1;1;1;3;3;2;3;1;1;1;3;1;2;3;1;1
STADE PESSACAIS UNION CLUB HANDBALL;N1;2122;F;26;76;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3
STELLA SAINT-MAUR HANDBALL;N1;2122;F;26;53;3;1;1;1;3;1;1;3;3;1;3;1;3;1;3;1;2;3;1;1;3;3;3;3;1;3
STRASBOURG ASPTT;N1;2122;F;26;58;3;1;1;1;3;3;3;1;3;3;3;1;1;3;3;1;3;3;3;3;3;3;1;3;1;1
TOULON/SAINT-CYR VAR HANDBALL;N1;2122;F;26;26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TOULOUSE FEMININ HANDBALL;N1;2122;F;26;74;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3
UNION PAYS D'AIX BOUC HANDBALL;N1;2122;F;25;67;3;3;3;1;2;1;3;3;3;2;3;3;3;3;3;3;3;2;3;3;NA;3;3;2;3;3
UNION SPORTIVE ALFORTVILLE HANDBALL;N1;2122;F;26;46;1;3;1;1;1;2;3;3;1;2;1;3;1;3;1;1;3;1;1;1;3;3;1;1;3;1
US MIOS BIGANOS;N1;2122;F;26;74;1;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
US PALAISEAU;N1;2122;F;26;55;3;1;3;1;1;1;1;1;1;3;3;3;3;3;1;3;3;1;3;3;1;2;3;3;3;1
YUTZ HANDBALL FEMININ;N1;2122;F;26;64;3;3;3;3;3;3;3;1;1;3;3;1;3;3;1;3;3;3;3;3;1;1;3;3;1;3
ACHENHEIM TRUCHTERSHEIM;N1;2223;F;24;36;1;1;1;2;1;1;1;1;1;1;NA;1;2;3;1;3;3;3;1;3;1;1;1;NA;1;1
ANGOULEME CHARENTE HANDBALL;N1;2223;F;24;49;3;1;3;3;1;1;3;NA;3;1;1;3;1;3;1;1;3;3;3;3;NA;1;1;1;3;2
ANNECY CSAV HANDBALL;N1;2223;F;22;44;3;NA;1;1;1;3;3;3;NA;1;1;3;2;3;NA;1;3;2;3;3;1;NA;1;1;1;3
AS CANNES-MANDELIEU HANDBALL;N1;2223;F;22;44;NA;1;3;3;3;1;1;2;3;3;NA;1;1;NA;3;1;1;2;3;1;1;3;3;NA;3;1
BERGERAC PERIGORD POURPRE HANDBALL;N1;2223;F;24;49;1;3;2;2;3;NA;1;1;1;1;3;3;3;3;1;3;3;3;NA;1;3;1;1;3;2;1
BLANZAT SPORT MONTLUCON;N1;2223;F;24;48;3;NA;1;2;3;2;1;1;3;1;1;3;2;3;NA;3;1;1;2;1;1;3;3;3;1;3
