"","code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_recevant","points_visiteur","diff_point","diff_point_norm"
"37","SAECVEM","MERIGNAC HANDBALL","CHAGNARD christophe","JDA DIJON HANDBALL","MAZEL christophe",27,28,"rencontre_D1F_2223_3113.pdf","J21",27,27,"R",0,-1,0,1,0,"F",0,0,"D1",2223,"merignac handball","jda dijon handball",30,41,-11,-1.19755775543858
"38","SAECVEO","HANDBALL PLAN DE CUQUES","SPINCER angelique","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix",27,26,"rencontre_D1F_2223_3115.pdf","J21",26,25,"R",1,1,1,1,1,"F",0,0,"D1",2223,"handball plan de cuques","st amand handball -  porte du hainaut",29,27,2,0.356279178681344
"39","SAECVET","HANDBALL PLAN DE CUQUES","SPINCER angelique","MERIGNAC HANDBALL","CHAGNARD christophe",26,25,"rencontre_D1F_2223_3120.pdf","J22",25,23,"R",1,1,1,1,0,"F",1,0,"D1",2223,"handball plan de cuques","merignac handball",32,31,1,0.236753260672119
"40","SAECVFE","ES BESANCON FEMININ","MIZOULE sebastien","LES NEPTUNES DE NANTES","THOMSEN helle",30,27,"rencontre_D1F_2223_3131.pdf","J24",29,26,"R",1,1,1,0,0,"F",1,1,"D1",2223,"es besancon feminin","les neptunes de nantes",44,51,-7,-0.719454083401682
"41","SAECVFK","PARIS","MESSAOUDI yacine","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",30,31,"rencontre_D1F_2223_3137.pdf","J25",29,31,"R",-1,-1,0,0,1,"F",0,1,"D1",2223,"paris 92","ogc nice cote d'azur handball",48,41,7,0.95390876872747
"42","SAECVFP","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","HANDBALL PLAN DE CUQUES","SPINCER angelique",24,20,"rencontre_D1F_2223_3142.pdf","J25",22,20,"R",1,1,1,0,0,"F",0,0,"D1",2223,"toulon metropole var handball","handball plan de cuques",28,39,-11,-1.19755775543858
"43","SAECVFR","METZ HANDBALL","MAYONNADE emmanuel","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",30,26,"rencontre_D1F_2223_3144.pdf","J26",28,25,"R",1,1,1,1,1,"F",0,0,"D1",2223,"metz handball","chambray touraine handball",69,51,18,2.26869386682895
"44","SAEDKJH","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","NOISY LE GRAND HANDBALL","GHERRAM farid",20,21,"rencontre_D2F_1_2223_351.pdf","J1",20,21,"R",-1,-1,0,1,0,"F",0,0,"D2",2223,"bouillargues handball nimes metropole","noisy le grand handball",0,0,0,0.117227342662894
"45","SAEDKJJ","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","ASUL VAULX EN VELIN","MODENEL sebastien",30,27,"rencontre_D2F_1_2223_353.pdf","J1",29,26,"R",1,1,1,0,0,"F",0,0,"D2",2223,"club athletique beglais","asul vaulx en velin",0,0,0,0.117227342662894
"46","SAEDKJQ","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",28,30,"rencontre_D2F_1_2223_360.pdf","J2",28,29,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"saint gregoire rennes metropole hb","club athletique beglais",3,3,0,0.117227342662894
"47","SAEDKJS","NOISY LE GRAND HANDBALL","GHERRAM farid","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,29,"rencontre_D2F_1_2223_362.pdf","J2",27,29,"R",-1,-1,0,0,1,"F",0,0,"D2",2223,"noisy le grand handball","handball clermont auvergne metropole 63",3,1,2,0.356279178681344
"48","SAEDKJT","ACHENHEIM TRUCHTERSHEIM","BASNY jan","SAMBRE AVESNOIS HANDBALL","PETIT clement",29,28,"rencontre_D2F_1_2223_363.pdf","J2",28,28,"R",0,1,1,0,0,"F",0,0,"D2",2223,"achenheim truchtersheim","sambre avesnois handball",3,3,0,0.117227342662894
"49","SAEDKJX","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",23,24,"rencontre_D2F_1_2223_367.pdf","J3",23,23,"R",0,-1,0,1,1,"F",0,0,"D2",2223,"club athletique beglais","havre athletic club hb",6,4,2,0.356279178681344
