"","club","division","saison","HF","match_joue","total_point","journee","points"
"310","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J21",39
"311","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J22",42
"312","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J1",0
"313","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J2",3
"314","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J3",4
"315","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J4",5
"316","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J5",6
"317","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J6",7
"318","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J7",8
"319","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J8",11
"320","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J9",12
"321","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J10",13
"322","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J11",14
"323","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J12",15
"324","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J13",16
"325","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J14",17
"326","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J15",18
"327","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J16",21
"328","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J17",22
"329","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J18",23
"330","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J19",25
