"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAECVED","ES BESANCON FEMININ","MIZOULE sebastien","HANDBALL PLAN DE CUQUES","SPINCER angelique",26,25,"rencontre_D1F_2223_3104.pdf",25,24,"R",1,1,1,0,0,"F",1,0,"D1","2223","handball clermont auvergne metropole 63","provence aix universite club handball",NA,NA,NA
"SAECVEE","JDA DIJON HANDBALL","MAZEL christophe","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",31,30,"rencontre_D1F_2223_3105 2.pdf",30,30,"R",0,1,1,0,0,"F",0,1,"D1","2223","jda dijon handball","le pouzin hb 07",52,NA,NA
"SAECVEE","JDA DIJON HANDBALL","MAZEL christophe","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",31,30,"rencontre_D1F_2223_3105.pdf",30,30,"R",0,1,1,0,0,"F",0,1,"D1","2223","jda dijon handball","le pouzin hb 07",52,NA,NA
"SAECVEG","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",24,22,"rencontre_D1F_2223_3107 2.pdf",24,22,"R",1,1,1,0,0,"F",0,0,"D1","2223","provence aix universite club handball","st amand handball -  porte du hainaut",NA,34,NA
"SAECVEG","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",24,22,"rencontre_D1F_2223_3107.pdf",24,22,"R",1,1,1,0,0,"F",0,0,"D1","2223","provence aix universite club handball","st amand handball -  porte du hainaut",NA,34,NA
"SAECVEK","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","PARIS","MESSAOUDI yacine",24,23,"rencontre_D1F_2223_3111 2.pdf",23,22,"R",1,1,1,1,0,"F",1,0,"D1","2223","st amand handball -  porte du hainaut","paris 92",34,51,17
"SAECVEK","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","PARIS","MESSAOUDI yacine",24,23,"rencontre_D1F_2223_3111.pdf",23,22,"R",1,1,1,1,0,"F",1,0,"D1","2223","st amand handball -  porte du hainaut","paris 92",34,51,17
"SAECVEL","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","ES BESANCON FEMININ","MIZOULE sebastien",26,28,"rencontre_D1F_2223_3112 2.pdf",26,27,"R",-1,-1,0,1,0,"F",0,1,"D1","2223","bouillargues handball nimes metropole","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVEL","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","ES BESANCON FEMININ","MIZOULE sebastien",26,28,"rencontre_D1F_2223_3112.pdf",26,27,"R",-1,-1,0,1,0,"F",0,1,"D1","2223","bouillargues handball nimes metropole","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVEM","MERIGNAC HANDBALL","CHAGNARD christophe","JDA DIJON HANDBALL","MAZEL christophe",27,28,"rencontre_D1F_2223_3113 2.pdf",27,27,"R",0,-1,0,1,0,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","jda dijon handball",NA,52,NA
